"NAME: ML Road Frame-W - Yellow, 48 -- COLOR: Yellow"
"NAME: HL Road Frame - Black, 62 -- COLOR: Black"
"NAME: HL Road Frame - Black, 44 -- COLOR: Black"
"NAME: HL Road Frame - Black, 48 -- COLOR: Black"
"NAME: HL Road Frame - Black, 52 -- COLOR: Black"
"NAME: Men's Sports Shorts, S -- COLOR: Black"
"NAME: Touring-Panniers, Large -- COLOR: Grey"
"NAME: Men's Sports Shorts, M -- COLOR: Black"
"NAME: Men's Sports Shorts, L -- COLOR: Black"
"NAME: Men's Sports Shorts, XL -- COLOR: Black"
"NAME: Women's Tights, S -- COLOR: Black"
"NAME: Women's Tights, M -- COLOR: Black"
"NAME: Women's Tights, L -- COLOR: Black"
"NAME: Men's Bib-Shorts, S -- COLOR: Multi"
"NAME: Men's Bib-Shorts, M -- COLOR: Multi"
"NAME: Men's Bib-Shorts, L -- COLOR: Multi"
"NAME: Half-Finger Gloves, S -- COLOR: Black"
"NAME: Half-Finger Gloves, M -- COLOR: Black"
"NAME: Half-Finger Gloves, L -- COLOR: Black"
"NAME: Full-Finger Gloves, S -- COLOR: Black"
"NAME: Full-Finger Gloves, M -- COLOR: Black"
"NAME: Full-Finger Gloves, L -- COLOR: Black"
"NAME: Classic Vest, S -- COLOR: Blue"
"NAME: Classic Vest, M -- COLOR: Blue"
"NAME: Classic Vest, L -- COLOR: Blue"
"NAME: Women's Mountain Shorts, S -- COLOR: Black"
"NAME: Women's Mountain Shorts, M -- COLOR: Black"
"NAME: Women's Mountain Shorts, L -- COLOR: Black"
"NAME: Racing Socks, M -- COLOR: White"
"NAME: Racing Socks, L -- COLOR: White"
NAME: Hydration Pack - 70 oz. -- COLOR: Silver
"NAME: Short-Sleeve Classic Jersey, S -- COLOR: Yellow"
"NAME: Short-Sleeve Classic Jersey, M -- COLOR: Yellow"
"NAME: Short-Sleeve Classic Jersey, L -- COLOR: Yellow"
"NAME: Short-Sleeve Classic Jersey, XL -- COLOR: Yellow"
"NAME: HL Touring Frame - Yellow, 60 -- COLOR: Yellow"
"NAME: LL Touring Frame - Yellow, 62 -- COLOR: Yellow"
"NAME: HL Touring Frame - Yellow, 46 -- COLOR: Yellow"
"NAME: HL Touring Frame - Yellow, 50 -- COLOR: Yellow"
"NAME: HL Touring Frame - Yellow, 54 -- COLOR: Yellow"
"NAME: HL Touring Frame - Blue, 46 -- COLOR: Blue"
"NAME: HL Touring Frame - Blue, 50 -- COLOR: Blue"
"NAME: HL Touring Frame - Blue, 54 -- COLOR: Blue"
"NAME: HL Touring Frame - Blue, 60 -- COLOR: Blue"
NAME: Rear Derailleur -- COLOR: Silver
"NAME: LL Touring Frame - Blue, 50 -- COLOR: Blue"
"NAME: LL Touring Frame - Blue, 54 -- COLOR: Blue"
"NAME: LL Touring Frame - Blue, 58 -- COLOR: Blue"
"NAME: LL Touring Frame - Blue, 62 -- COLOR: Blue"
"NAME: LL Touring Frame - Yellow, 44 -- COLOR: Yellow"
"NAME: LL Touring Frame - Yellow, 50 -- COLOR: Yellow"
"NAME: LL Touring Frame - Yellow, 54 -- COLOR: Yellow"
"NAME: LL Touring Frame - Yellow, 58 -- COLOR: Yellow"
"NAME: LL Touring Frame - Blue, 44 -- COLOR: Blue"
"NAME: ML Mountain Frame-W - Silver, 40 -- COLOR: Silver"
"NAME: ML Mountain Frame-W - Silver, 42 -- COLOR: Silver"
"NAME: ML Mountain Frame-W - Silver, 46 -- COLOR: Silver"
NAME: Rear Brakes -- COLOR: Silver
"NAME: LL Mountain Frame - Silver, 42 -- COLOR: Silver"
"NAME: LL Mountain Frame - Silver, 44 -- COLOR: Silver"
"NAME: LL Mountain Frame - Silver, 48 -- COLOR: Silver"
"NAME: LL Mountain Frame - Silver, 52 -- COLOR: Silver"
"NAME: LL Mountain Frame - Black, 42 -- COLOR: Black"
"NAME: LL Mountain Frame - Black, 44 -- COLOR: Black"
"NAME: LL Mountain Frame - Black, 48 -- COLOR: Black"
"NAME: LL Mountain Frame - Black, 52 -- COLOR: Black"
NAME: LL Mountain Pedal -- COLOR: Silver/Black
NAME: ML Mountain Pedal -- COLOR: Silver/Black
NAME: HL Mountain Pedal -- COLOR: Silver/Black
NAME: LL Road Pedal -- COLOR: Silver/Black
NAME: ML Road Pedal -- COLOR: Silver/Black
NAME: HL Road Pedal -- COLOR: Silver/Black
NAME: Touring Pedal -- COLOR: Silver/Black
"NAME: ML Mountain Frame-W - Silver, 38 -- COLOR: Silver"
"NAME: LL Mountain Frame - Black, 40 -- COLOR: Black"
"NAME: LL Mountain Frame - Silver, 40 -- COLOR: Silver"
NAME: Front Derailleur -- COLOR: Silver
NAME: Front Brakes -- COLOR: Silver
NAME: LL Crankset -- COLOR: Black
NAME: ML Crankset -- COLOR: Black
NAME: HL Crankset -- COLOR: Black
NAME: Chain -- COLOR: Silver
"NAME: Touring-2000 Blue, 60 -- COLOR: Blue"
"NAME: Touring-1000 Yellow, 46 -- COLOR: Yellow"
"NAME: Touring-1000 Yellow, 50 -- COLOR: Yellow"
"NAME: Touring-1000 Yellow, 54 -- COLOR: Yellow"
"NAME: Touring-1000 Yellow, 60 -- COLOR: Yellow"
"NAME: Touring-3000 Blue, 54 -- COLOR: Blue"
"NAME: Touring-3000 Blue, 58 -- COLOR: Blue"
"NAME: Touring-3000 Blue, 62 -- COLOR: Blue"
"NAME: Touring-3000 Yellow, 44 -- COLOR: Yellow"
"NAME: Touring-3000 Yellow, 50 -- COLOR: Yellow"
"NAME: Touring-3000 Yellow, 54 -- COLOR: Yellow"
"NAME: Touring-3000 Yellow, 58 -- COLOR: Yellow"
"NAME: Touring-3000 Yellow, 62 -- COLOR: Yellow"
"NAME: Touring-1000 Blue, 46 -- COLOR: Blue"
"NAME: Touring-1000 Blue, 50 -- COLOR: Blue"
"NAME: Touring-1000 Blue, 54 -- COLOR: Blue"
"NAME: Touring-1000 Blue, 60 -- COLOR: Blue"
"NAME: Touring-2000 Blue, 46 -- COLOR: Blue"
"NAME: Touring-2000 Blue, 50 -- COLOR: Blue"
"NAME: Touring-2000 Blue, 54 -- COLOR: Blue"
"NAME: Road-350-W Yellow, 40 -- COLOR: Yellow"
"NAME: Road-350-W Yellow, 42 -- COLOR: Yellow"
"NAME: Road-350-W Yellow, 44 -- COLOR: Yellow"
"NAME: Road-350-W Yellow, 48 -- COLOR: Yellow"
"NAME: Road-750 Black, 58 -- COLOR: Black"
"NAME: Touring-3000 Blue, 44 -- COLOR: Blue"
"NAME: Touring-3000 Blue, 50 -- COLOR: Blue"
"NAME: Mountain-400-W Silver, 38 -- COLOR: Silver"
"NAME: Mountain-400-W Silver, 40 -- COLOR: Silver"
"NAME: Mountain-400-W Silver, 42 -- COLOR: Silver"
"NAME: Mountain-400-W Silver, 46 -- COLOR: Silver"
"NAME: Mountain-500 Silver, 40 -- COLOR: Silver"
"NAME: Mountain-500 Silver, 42 -- COLOR: Silver"
"NAME: Mountain-500 Silver, 44 -- COLOR: Silver"
"NAME: Mountain-500 Silver, 48 -- COLOR: Silver"
"NAME: Mountain-500 Silver, 52 -- COLOR: Silver"
"NAME: Mountain-500 Black, 40 -- COLOR: Black"
"NAME: Mountain-500 Black, 42 -- COLOR: Black"
"NAME: Mountain-500 Black, 44 -- COLOR: Black"
"NAME: Mountain-500 Black, 48 -- COLOR: Black"
"NAME: Mountain-500 Black, 52 -- COLOR: Black"
"NAME: Road-750 Black, 44 -- COLOR: Black"
"NAME: Road-750 Black, 48 -- COLOR: Black"
"NAME: Road-750 Black, 52 -- COLOR: Black"
